scenario,n,method,bias,se,sd,cov,corr,nrmse,skip,used,n_seeds
A,500,ridge,0.02932019931685137,0.2243230052663171,0.37915721267227925,0.9617486338797814,0.4497518445321054,0.9435895561072283,17,183,200
A,500,rf_tuned,0.02659875223706698,0.24241302009345708,0.3025329911938794,0.9513513513513514,0.4287099438102265,0.9136626017936728,15,185,200
A,500,tnet,-0.029319014007929578,0.21216777810563703,0.2872629594374683,0.9333333333333333,0.43284723014130344,1.2561721810215518,80,120,200
A,500,tarnet,-0.0024858181024527415,0.21243656774275968,0.3483973127851914,0.9272727272727272,0.4729821494967588,1.1827407019274638,35,165,200
A,500,bk,0.2989554582018686,,,0.0,,,,,200
A,1000,ridge,-0.008840909337096026,0.1331852212645897,0.21497685239584496,0.9639175257731959,0.5165320550418042,0.8600678282583842,6,194,200
A,1000,rf_tuned,-0.003097378244164062,0.14238333067073727,0.16073180251371977,0.9797979797979798,0.5025928550293309,0.8643081458001134,2,198,200
A,1000,tnet,-0.012897356627945777,0.12673349290440278,0.10846627283188263,1.0,0.4629234643990716,1.4022852766596197,185,15,200
A,1000,tarnet,-0.011374031190463346,0.0918804419475526,0.09356001565106721,0.955,0.7632971251302613,0.6671393796065113,0,200,200
A,1000,bk,0.30211363243378847,,,0.0,,,,,200
A,2000,ridge,0.008293368435184245,0.08409254424671478,0.11259530711517436,0.9698492462311558,0.5617785677602004,0.8130833950562826,1,199,200
A,2000,rf_tuned,0.016781435306099934,0.08673301631854866,0.0939266421294546,0.955,0.5609447981822365,0.8230228120150304,0,200,200
A,2000,tnet,0.004152275257797433,0.07834856785213848,0.0770306587846123,0.96,0.6092087135348234,1.069933874133106,0,200,200
A,2000,tarnet,0.007819101475766477,0.05903182037719121,0.06200316619066641,0.945,0.8153862794778952,0.579715272734186,0,200,200
A,2000,bk,0.3032944447673224,,,0.0,,,,,200
A,5000,ridge,-0.0076739260792325625,0.04962240162862244,0.08015943008586869,0.935,0.5921872765510292,0.7834703809530378,0,200,200
A,5000,rf_tuned,2.449471549259563e-06,0.0486937428830495,0.055419972055555634,0.935,0.623296644684264,0.7771992963349722,0,200,200
A,5000,tnet,0.0014046742571402482,0.0425344662339104,0.04638655966943735,0.945,0.7191969296524205,0.8605232391350464,0,200,200
A,5000,tarnet,0.004376367652169311,0.033124536781369104,0.032545825481145436,0.96,0.915407002631675,0.4034894056462268,0,200,200
A,5000,bk,0.3028677682393836,,,0.0,,,,,200
A,10000,ridge,-0.0031533648334819975,0.034619451589976084,0.04094284479852436,0.975,0.6046900774193128,0.7728583015004576,0,200,200
A,10000,rf_tuned,-0.0029053520645484776,0.03247456209037084,0.03235531001612326,0.95,0.6638859337082778,0.7451059349874402,0,200,200
A,10000,tnet,-0.0007275550430892175,0.024376620207708338,0.02469090669955886,0.95,0.8802181769114347,0.4983636410137868,0,200,200
A,10000,tarnet,-0.0008587758960581504,0.02289999813795556,0.022822999803797032,0.96,0.9367836124505863,0.3508826468243008,0,200,200
A,10000,bk,0.30176114953948435,,,0.0,,,,,200
B,500,ridge,0.014311137736377821,0.12508805055548106,0.21958471691241335,0.9473684210526315,0.49663043787820416,0.8770568527311673,10,190,200
B,500,rf_tuned,0.0006450410009454233,0.12945466443542786,0.1861851486564853,0.9438775510204082,0.47888319647414757,0.873492531281104,4,196,200
B,500,tnet,-0.001089267625742768,0.1172792513598028,0.19212135643847852,0.9242424242424242,0.5302803399010313,1.0052727280833784,2,198,200
B,500,tarnet,0.004109849559719492,0.10603006802743972,0.13653680256223427,0.925,0.5946536217349248,0.9266755990098535,0,200,200
B,500,bk,0.2710770321171546,,,0.0,,,,,200
B,1000,ridge,0.00032711319885758705,0.07868485931660317,0.11052570912450467,0.9540816326530612,0.5498827753173444,0.8217742811519781,4,196,200
B,1000,rf_tuned,-0.003558261942086721,0.08094374571531765,0.08554277124452064,0.965,0.5502056015370678,0.8297619086059161,0,200,200
B,1000,tnet,-0.004080992546699441,0.0739125493999714,0.07667680968411822,0.935,0.5937786093964768,1.0355006418598651,0,200,200
B,1000,tarnet,-0.003161570642119055,0.05276904791784888,0.053568271678226476,0.94,0.8342768959849205,0.5578500886018061,0,200,200
B,1000,bk,0.27238082633594346,,,0.0,,,,,200
B,2000,ridge,0.003890549454663106,0.051132330995474956,0.06410350206237335,0.97,0.5817548493470066,0.7922173629354131,0,200,200
B,2000,rf_tuned,0.006275447533239831,0.0507022431966095,0.05200295057253168,0.955,0.6044202348359008,0.7921448280059462,0,200,200
B,2000,tnet,-0.000362180614375901,0.040267260213032494,0.038749038701564174,0.97,0.7527595161988249,0.7473040537156704,0,200,200
B,2000,tarnet,0.0008497773015734289,0.035161740198122925,0.03596263579958967,0.945,0.8638983877888736,0.5012552491084752,0,200,200
B,2000,bk,0.2720210025326257,,,0.0,,,,,200
B,5000,ridge,-0.004425541869602284,0.03058535256399062,0.04847936095147888,0.93,0.6021285675737037,0.7744812186778357,0,200,200
B,5000,rf_tuned,-0.0012867578464965668,0.02898255724235355,0.032746325746154034,0.92,0.6631700753440319,0.7483299250013351,0,200,200
B,5000,tnet,0.0003554894391397112,0.022352413981055794,0.023259828638181018,0.945,0.8539691540576456,0.5657217745187918,0,200,200
B,5000,tarnet,0.0018070651068773924,0.020184736529975583,0.019510801952961964,0.955,0.9453142022938874,0.326193511569798,0,200,200
B,5000,bk,0.2712848322268854,,,0.0,,,,,200
B,10000,ridge,-0.0026648190002228345,0.021509355945572475,0.02484832355035424,0.99,0.6100848477679108,0.7682548459283319,0,200,200
B,10000,rf_tuned,-0.002139181579092375,0.01933000229717917,0.01952337313872633,0.955,0.6991991168208298,0.7186462837700313,0,200,200
B,10000,tnet,-4.0158262390094235e-05,0.014202410329358765,0.014291616780532899,0.955,0.9518059715409943,0.3086363979970116,0,200,200
B,10000,tarnet,-0.0005804655285154836,0.014113073004332094,0.014176379345518809,0.96,0.9572167933327177,0.289092869471528,0,200,200
B,10000,bk,0.2727984847820529,,,0.0,,,,,200
C,500,ridge,0.030725579404928205,0.22647307633795072,0.3728026373401102,0.9560439560439561,0.4497518445321054,0.9435895561072283,18,182,200
C,500,rf_tuned,0.01102764089141739,0.2438958195189299,0.2872475235420932,0.9456521739130435,0.4287099438102265,0.9136626017936728,16,184,200
C,500,tnet,-0.025208874367246614,0.21659470420035853,0.26177604394209636,0.9504132231404959,0.4328472301836371,1.256172181049109,79,121,200
C,500,tarnet,0.013294413947467165,0.2214583787905697,0.3339904636123508,0.9345238095238095,0.4729821494967588,1.1827407019274638,32,168,200
C,500,bk,0.30138876421911853,,,0.0,,,,,200
C,1000,ridge,0.0006685464645249661,0.13696969230067385,0.21161373161300465,0.9742268041237113,0.5165320550418042,0.8600678282583842,6,194,200
C,1000,rf_tuned,0.014059435908420514,0.14257012729121593,0.16067486259977148,0.9797979797979798,0.5025928550293309,0.8643081458001134,2,198,200
C,1000,tnet,0.0008985864633010987,0.12882262921051785,0.09025612807449422,1.0,0.46292346502317044,1.4022852781305672,185,15,200
C,1000,tarnet,-0.00922027285668478,0.09420602934891759,0.09248803876314132,0.975,0.7632971251137269,0.6671393796160132,0,200,200
C,1000,bk,0.30440890064533194,,,0.0,,,,,200
C,2000,ridge,0.009668965406605223,0.08668942321572548,0.11544222716663322,0.9698492462311558,0.5617785677602004,0.8130833950562826,1,199,200
C,2000,rf_tuned,0.013035066503111259,0.08719716406833858,0.08916110915903615,0.975,0.5609447981822365,0.8230228120150304,0,200,200
C,2000,tnet,0.008721858723375664,0.08027559621244443,0.07519326786146094,0.965,0.6092087136034401,1.0699338745866926,0,200,200
C,2000,tarnet,0.006561709170112728,0.061030632576798596,0.060428171476921734,0.955,0.8153862794778952,0.579715272734186,0,200,200
C,2000,bk,0.2989152517242982,,,0.0,,,,,200
C,5000,ridge,-0.0022015353959612127,0.050779906433245765,0.07824379802196231,0.955,0.5921872765510292,0.7834703809530378,0,200,200
C,5000,rf_tuned,-0.002629519207247688,0.04981612621864689,0.05606154595910185,0.945,0.623296644684264,0.7771992963349722,0,200,200
C,5000,tnet,0.0025035944075612604,0.04322218283078713,0.04516240789866665,0.965,0.7191969290818565,0.8605232412253847,0,200,200
C,5000,tarnet,0.002588186954917693,0.034228861750770834,0.03310523808205645,0.96,0.9154077439395978,0.4034774885541218,0,200,200
C,5000,bk,0.3040179054939351,,,0.0,,,,,200
C,10000,ridge,-0.006258461119951153,0.03528106051711834,0.04026902130090454,0.98,0.6046900774193128,0.7728583015004576,0,200,200
C,10000,rf_tuned,-0.0024256193207208565,0.03293911274669142,0.030698215963568434,0.965,0.6638511961613887,0.7451250390577008,0,200,200
